PID: 0, TP: 0, CP: 1, Estado: EXECUTANDO, NES: 0, N_CPU: 1, Tempo Restante: 10000
PID: 0, TP: 52, CP: 53, Estado: BLOQUEADO, NES: 1, N_CPU: 1, Tempo Restante: 9948
PID: 1, TP: 0, CP: 1, Estado: EXECUTANDO, NES: 0, N_CPU: 1, Tempo Restante: 5000
PID: 1, TP: 13, CP: 14, Estado: BLOQUEADO, NES: 1, N_CPU: 1, Tempo Restante: 4987
PID: 0, TP: 52, CP: 53, Estado: PRONTO, NES: 1, N_CPU: 1, Tempo Restante: 9948
PID: 1, TP: 13, CP: 14, Estado: PRONTO, NES: 1, N_CPU: 1, Tempo Restante: 4987
PID: 2, TP: 0, CP: 1, Estado: EXECUTANDO, NES: 0, N_CPU: 1, Tempo Restante: 7000
PID: 2, TP: 12, CP: 13, Estado: BLOQUEADO, NES: 1, N_CPU: 1, Tempo Restante: 6988
PID: 2, TP: 12, CP: 13, Estado: PRONTO, NES: 1, N_CPU: 1, Tempo Restante: 6988
PID: 3, TP: 0, CP: 1, Estado: EXECUTANDO, NES: 0, N_CPU: 1, Tempo Restante: 3000
PID: 3, TP: 371, CP: 372, Estado: BLOQUEADO, NES: 1, N_CPU: 1, Tempo Restante: 2629
PID: 4, TP: 0, CP: 1, Estado: EXECUTANDO, NES: 0, N_CPU: 1, Tempo Restante: 3000
PID: 4, TP: 9, CP: 10, Estado: BLOQUEADO, NES: 1, N_CPU: 1, Tempo Restante: 2991
PID: 3, TP: 371, CP: 372, Estado: PRONTO, NES: 1, N_CPU: 1, Tempo Restante: 2629
PID: 4, TP: 9, CP: 10, Estado: PRONTO, NES: 1, N_CPU: 1, Tempo Restante: 2991
PID: 5, TP: 0, CP: 1, Estado: EXECUTANDO, NES: 0, N_CPU: 1, Tempo Restante: 8000
PID: 5, TP: 24, CP: 25, Estado: BLOQUEADO, NES: 1, N_CPU: 1, Tempo Restante: 7976
PID: 5, TP: 24, CP: 25, Estado: PRONTO, NES: 1, N_CPU: 1, Tempo Restante: 7976
PID: 5, TP: 24, CP: 25, Estado: EXECUTANDO, NES: 1, N_CPU: 2, Tempo Restante: 7976
PID: 5, TP: 65, CP: 66, Estado: BLOQUEADO, NES: 2, N_CPU: 2, Tempo Restante: 7935
PID: 6, TP: 0, CP: 1, Estado: EXECUTANDO, NES: 0, N_CPU: 1, Tempo Restante: 2000
PID: 6, TP: 23, CP: 24, Estado: BLOQUEADO, NES: 1, N_CPU: 1, Tempo Restante: 1977
PID: 7, TP: 0, CP: 1, Estado: EXECUTANDO, NES: 0, N_CPU: 1, Tempo Restante: 5000
PID: 7, TP: 199, CP: 200, Estado: BLOQUEADO, NES: 1, N_CPU: 1, Tempo Restante: 4801
PID: 7, TP: 199, CP: 200, Estado: PRONTO, NES: 1, N_CPU: 1, Tempo Restante: 4801
PID: 7, TP: 199, CP: 200, Estado: EXECUTANDO, NES: 1, N_CPU: 2, Tempo Restante: 4801
